looptime,ax,ay,az,gx,gy,gz,baro_temp,baro_pressure
445353,-0.15,-0.96,0.17,1.34,1.57,-0.79,30.28,96765.49
445388,-0.15,-0.97,0.17,0.91,1.13,-0.24,30.28,96765.49
445424,-0.15,-0.97,0.16,-0.1,0.18,0.25,30.28,96764.16
445458,-0.16,-0.97,0.16,-0.45,-0.17,0.52,30.28,96766.49
445492,-0.15,-0.96,0.16,-1.15,-1.05,0.81,30.28,96766.49
445527,-0.16,-0.97,0.16,-0.95,-1.36,0.37,30.28,96767.32
445568,-0.17,-0.97,0.15,-0.84,-1.16,0.23,30.28,96767.32
445600,-0.16,-0.97,0.14,-0.11,-0.87,-0.13,30.28,96765.52
445634,-0.16,-0.97,0.15,0.47,-0.15,-0.53,30.28,96765.52
445670,-0.16,-0.97,0.15,1.03,0.64,-0.62,30.28,96766.38
445706,-0.16,-0.96,0.16,1.52,1.38,-0.59,30.28,96766.38
445739,-0.16,-0.97,0.16,1.54,1.38,-0.24,30.28,96767.71
445772,-0.15,-0.97,0.17,1.22,1.21,-0.21,30.28,96767.71
445808,-0.15,-0.97,0.17,0.54,0.57,-0.19,30.28,96765.05
445847,-0.16,-0.97,0.17,0.16,-0.14,0.34,30.28,96765.05
445881,-0.15,-0.97,0.17,-0.59,-0.64,0.4,30.28,96766.88
445916,-0.15,-0.97,0.17,-1.09,-1.19,0.42,30.28,96766.88
445952,-0.17,-0.97,0.16,-0.75,-1.36,0.11,30.29,96768.77
445985,-0.16,-0.97,0.15,-0.72,-0.99,-0.26,30.29,96764.78
446019,-0.16,-0.97,0.14,-0.17,-0.52,-0.35,30.29,96764.78
446054,-0.16,-0.97,0.15,0.13,0.05,-0.64,30.29,96767.08
446090,-0.15,-0.97,0.16,0.99,0.78,-0.64,30.29,96767.08
446124,-0.15,-0.97,0.15,1.28,1.08,-0.21,30.29,96766.41
446163,-0.15,-0.97,0.16,1.35,1.22,-0.06,30.29,96766.41
446198,-0.15,-0.97,0.17,0.99,1.07,0.16,30.29,96768.6
446232,-0.16,-0.97,0.17,0.51,0.34,0.14,30.29,96768.6
446267,-0.16,-0.97,0.17,0.01,-0.29,0.39,30.29,96768.07
446303,-0.16,-0.97,0.16,-0.55,-0.82,0.13,30.29,96768.07
446337,-0.16,-0.97,0.16,-0.91,-1.07,-0.47,30.28,96766.05
446371,-0.16,-0.97,0.16,-0.83,-1.21,-0.41,30.28,96766.05
446405,-0.16,-0.97,0.15,-0.65,-0.67,-0.48,30.29,96766.58
446445,-0.15,-0.97,0.15,0.28,-0.04,-0.42,30.29,96767.61
446479,-0.15,-0.97,0.15,0.73,0.37,-0.15,30.29,96767.61
446513,-0.15,-0.97,0.15,0.83,0.52,-0.1,30.29,96766.75
446548,-0.16,-0.97,0.16,0.97,0.73,0.07,30.29,96766.75
446583,-0.16,-0.97,0.17,0.53,0.76,0.14,30.28,96768.04
446616,-0.16,-0.97,0.17,0.56,0.14,0.1,30.28,96768.04
446651,-0.16,-0.97,0.16,0.15,0.21,-0.03,30.28,96762.53
446687,-0.16,-0.97,0.16,-0.22,-0.46,-0.1,30.28,96762.53
446722,-0.16,-0.97,0.17,-0.6,-0.69,-0.44,30.28,96766.85
446758,-0.16,-0.97,0.16,-0.43,-0.75,-0.77,30.28,96766.85
446794,-0.15,-0.97,0.15,-0.49,-0.53,-0.42,30.28,96765.49
446830,-0.15,-0.97,0.15,-0.07,0.23,0.05,30.28,96765.49
446865,-0.15,-0.97,0.14,0.64,-0.2,0.02,30.28,96765.02
446919,-0.16,-0.97,0.17,0.65,0.57,0.14,30.28,96766.82
446956,-0.15,-0.97,0.16,0.97,0.21,-0.01,30.28,96766.82
446992,-0.16,-0.97,0.16,0.42,0.26,-0.32,30.27,96764.59
447026,-0.16,-0.97,0.16,0.1,0.54,-0.68,30.27,96764.59
447058,-0.16,-0.97,0.17,-0.51,0.21,-0.84,30.27,96768.58
447100,-0.16,-0.97,0.16,-0.25,-0.5,-0.93,30.27,96764.53
447135,-0.15,-0.97,0.17,-0.65,0.46,-0.76,30.27,96764.53
447168,-0.15,-0.97,0.16,-0.57,-1.28,-0.33,30.27,96768.21
447203,-0.15,-0.96,0.15,-0.07,-0.09,0.39,30.27,96768.21
447239,-0.15,-0.96,0.16,0.44,0.55,0.9,30.27,96767.85
447273,-0.15,-0.97,0.15,0.83,0.38,1.06,30.27,96767.85
447306,-0.16,-0.97,0.16,0.93,0.55,1.07,30.27,96766.52
447341,-0.16,-0.97,0.16,1.08,0.12,0.54,30.27,96766.52
447380,-0.16,-0.97,0.17,0.64,0.87,0.13,30.26,96767.52
447415,-0.16,-0.97,0.17,0.22,0.08,-0.61,30.26,96767.52
447451,-0.16,-0.97,0.16,-0.36,0,-0.97,30.26,96766.85
447485,-0.15,-0.97,0.16,-0.4,-0.15,-0.94,30.26,96766.85
447520,-0.15,-0.97,0.16,-0.33,-0.23,-0.53,30.26,96767.97
447554,-0.15,-0.96,0.15,-0.39,-0.41,-0.24,30.26,96766.32
447589,-0.15,-0.97,0.16,0.04,-0.53,0.17,30.26,96765.95
447624,-0.15,-0.96,0.15,0.53,0.26,0.37,30.26,96768.14
447659,-0.15,-0.97,0.16,0.51,0.14,0.78,30.26,96768.14
447697,-0.16,-0.96,0.16,0.76,0.44,0.94,30.26,96766.45
447733,-0.16,-0.97,0.16,0.45,0.18,0.63,30.26,96766.45
447783,-0.16,-0.97,0.16,-0.05,0.06,0.05,30.25,96765.06
447819,-0.16,-0.97,0.16,0.39,-0.3,-0.38,30.25,96764.06
447855,-0.16,-0.96,0.16,0.22,0.41,-0.52,30.25,96764.06
447890,-0.16,-0.97,0.16,0.35,0.09,-0.58,30.25,96768.21
447923,-0.16,-0.97,0.16,0.28,0.17,-0.67,30.25,96768.21
447959,-0.15,-0.97,0.16,0.36,0.61,-0.41,30.25,96766.89
447995,-0.15,-0.97,0.17,-0.1,-0.01,-0.09,30.25,96766.89
448033,-0.15,-0.97,0.16,0.01,-0.11,-0.01,30.25,96767.18
448067,-0.16,-0.97,0.15,0.01,-0.52,0.51,30.25,96767.18
448103,-0.16,-0.97,0.16,-0.16,-0.32,0.42,30.25,96766.05
448139,-0.16,-0.97,0.16,-0.1,-0.43,0.13,30.25,96766.05
448172,-0.16,-0.97,0.16,0.28,-0.17,-0.26,30.25,96765.19
448205,-0.16,-0.96,0.16,0.38,0.31,-0.16,30.25,96765.19
448241,-0.15,-0.97,0.15,0.47,0.17,-0.19,30.25,96766.35
448277,-0.16,-0.97,0.15,0.7,0.72,-0.1,30.25,96765.36
448314,-0.15,-0.96,0.15,0.96,1.05,-0.09,30.25,96765.36
448349,-0.16,-0.96,0.16,0.62,0.93,-0.07,30.25,96767.35
448385,-0.16,-0.97,0.16,0.32,0.63,-0.07,30.25,96767.35
448418,-0.15,-0.97,0.17,0.28,-0.01,0.2,30.25,96767.08
448452,-0.16,-0.97,0.17,-0.33,-0.11,0.03,30.25,96767.08
448487,-0.16,-0.97,0.17,-0.39,-0.85,0.16,30.25,96765.22
448523,-0.16,-0.97,0.16,-0.36,-0.81,0.37,30.25,96765.22
448557,-0.16,-0.97,0.15,-0.36,-0.78,0.07,30.25,96767.91
448590,-0.16,-0.97,0.16,-0.14,0.05,-0.19,30.25,96767.91
448630,-0.15,-0.97,0.15,0.76,0.31,-0.16,30.25,96768.25
448665,-0.16,-0.97,0.16,0.83,0.99,-0.3,30.25,96768.25
448699,-0.15,-0.96,0.17,0.82,0.84,-0.16,30.26,96769.1
448735,-0.15,-0.97,0.17,0.82,0.72,-0.07,30.26,96769.74
448770,-0.16,-0.97,0.17,0.5,0.37,0,30.25,96769.74
448804,-0.16,-0.97,0.17,0.21,-0.09,-0.12,30.26,96767.64
448838,-0.15,-0.96,0.16,-0.39,-0.08,-0.23,30.26,96767.64
448873,-0.15,-0.97,0.17,-0.33,-0.85,-0.03,30.26,96765.65
448912,-0.16,-0.97,0.15,-0.36,-1.08,0.11,30.26,96765.65
448946,-0.16,-0.97,0.16,-0.45,-0.37,-0.1,30.26,96766.82
448983,-0.16,-0.97,0.16,-0.11,-0.32,0.1,30.26,96766.82
449016,-0.16,-0.97,0.15,0.76,0.35,-0.21,30.26,96767.81
449050,-0.15,-0.97,0.16,1,1.24,0.17,30.26,96767.81
449084,-0.16,-0.97,0.16,0.82,0.81,-0.01,30.26,96765.65
